Tmax_Tmin	Open_Canopy
4	open
16.4	open
13.2	open
12.7	open
17	open
12	open
14	open
10	open
14.9	open
12.7	open
14.6	open
11.8	open
23.3	open
6.3	open
11.2	open
10.9	open
13	open
1.7	open
10.9	open
15	open
24.6	open
10.9	open
11	open
6.2	open
9.7	open
10	open
9.3	open
12.6	open
22.4	open
7	open
10	open
7.4	open
8.4	open
18.5	open
5	open
4.6	open
6.6	open
9.6	open
18.3	open
20.5	open
21.9	open
19.8	open
8.8	open
6.9	open
24.6	open
25.3	open
9	open
12.9	open
10.9	open
8.6	open
5.6	open
10.8	open
21	open
14.6	open
11	open
25.1	open
4.2	open
9.2	open
10.4	open
6.6	open
17.1	open
7.6	open
15.5	open
17.4	open
10.6	open
5	open
8.8	open
11.8	open
10.6	open
14.7	open
35	open
15.6	open
23.2	open
8.8	open
6	open
34.4	open
8.7	open
11.2	open
18.8	open
11.2	open
10.9	open
5.7	open
10	open
10.6	open
7.9	open
12.8	open
12.1	open
12	open
13.8	open
14.3	open
9	open
9.9	open
8.6	open
15.1	open
4.7	open
20.5	open
6	open
16.8	open
4.1	open
16.4	open
6.8	open
8.9	open
23	open
11	open
19.4	open
15.7	open
11.8	open
7.8	open
11.7	open
14.7	open
16.4	open
8.6	open
10.4	open
13	open
11.5	open
8.1	open
7.1	open
14.4	open
12	open
16.8	open
12	open
26.3	open
8.9	open
17.9	open
6.7	open
3.3	open
16.1	open
6.5	open
1.8	open
10.8	open
4.3	open
15.1	open
2.2	open
28.3	open
21.2	open
13.3	open
11.7	open
17.9	open
10.9	open
7	open
10	open
10.7	open
10	open
10.3	open
12.5	open
10.1	open
17.6	open
7.5	open
8.9	open
7.9	open
3.9	open
7.6	open
5.1	open
17.1	open
15.4	open
24.2	open
10.6	open
15.7	open
19.4	open
14.5	open
19.6	open
9	open
5.7	open
0.7	open
9	open
14.4	open
4.3	open
6	open
5.5	open
8.1	open
10.7	open
9.3	open
12.4	open
0.2	open
16.7	open
22	open
21.7	open
5.3	open
12.6	open
8.7	open
13.2	open
14.3	open
11.6	open
15.8	open
15.4	open
14	open
6.3	open
9	open
7.6	open
16	open
18.1	open
10.3	open
14.9	open
12.5	open
16.3	open
6.5	open
14.6	open
8	open
11.3	open
8	open
5.3	open
2.6	open
13	open
13.8	open
29.3	open
8.2	open
9	open
5.9	open
12.5	open
11	open
5.7	open
2.2	open
9.6	open
0	open
10	open
7.2	open
14.9	open
12.4	open
5.1	open
10	open
6.8	open
4.7	open
13.7	open
12	open
6.6	open
7.7	open
24.6	open
9.1	open
9	open
8.1	open
7.7	open
6	open
10.4	open
8.5	open
21.02	open
13.4	open
4	open
14.8	open
