Period	Date observed	Latitude	Longitude	Environment	Urban	Rural	Suburban	Village_small_town	Surface cover under tree	grass_tree	undergrowth_tree	bare_soil_tree	litter_tree	artificial_tree	Surface cover in open	Grass_open	undergrowth_open	bare_soil_open	litter_open	artificial_open	surface_tree_cover	Distance to artificial light source (m)	0-5_light	5-10_light	10-20_light	20+light	Standing	Alone	Species	Approx distance to coast (km)	Dist. from thermometer under tree to edge of canopy (m)	Dist. from thermometer in open either to edge of the canopy of nearest tree or to nearest building (m)	Percentage canopy cover	Canopy index	T max open	T min open	T max canopy	T min canopy	T max open - T max canopy	T min open- T min canopy	Tmax_open-Tmin_open	Tmax_canopy-Tmin_canopy	D = (Tmax open - T min open) - (T max canopy - T min canopy)	Canopy_index_2	Ruralfactor	20+lightfactor
1	10/12/2016	52.0249136	-0.7097474	urban	1	0	0	0	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	0-5	1	0	0	0	alone	1	Quercus petraea	200	10	50	71-80	75	8	4	10	5	-2	-1	4	5	-1	5625	nrural	n20+light
1	10/9/2016	52.568363	-3.341291	rural	0	1	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus petraea	50.705	10	12.4	81-90	85	15	-1.4	14	3.6	1	-5	16.4	10.4	6	7225	rural	20+light
1	10/15/2016	50.406021	-4.6750679	urban	1	0	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	12	7	18	71-80	75	18.3	5.1	11.4	10.1	6.9	-5	13.2	1.3	11.9	5625	nrural	20+light
1	11/6/2016	51.4435	-2.5301	rural	0	1	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	other oak	15	6	9	31-40	35	9	-3.7	7.7	-0.4	1.3	-3.3	12.7	8.1	4.6	1225	rural	20+light
1	10/16/2016	52.4382211	-3.9921834	rural	0	1	0	0	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	20+	0	0	0	1	with others	0	Quercus petraea	6	2	8	81-90	85	22.7	5.7	23.8	7.8	-1.1	-2.1	17	16	1	7225	rural	20+light
1	10/23/2016	56.426907	-3.440417	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	alone	1	Quercus robur	41	7.04	35	91-100	95	12	0	12.9	3.9	-0.9	-3.9	12	9	3	9025	rural	20+light
1	10/10/2016	51.2573519	1.1347435	rural	0	1	0	0	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	20+	0	0	0	1	with others	0	Quercus petraea	24	6.5	12	81-90	85	17.4	3.4	17	6	0.4	-2.6	14	11	3	7225	rural	20+light
1	11/1/2016	52.5737168	1.6932672	rural	0	1	0	0	litter	0	0	0	1	0	litter	0	0	0	1	0	litter_litter	20+	0	0	0	1	with others	0	Quercus petraea	3	6	80	61-70	65	13	3	11.9	3.7	1.1	-0.7	10	8.2	1.8	4225	rural	20+light
1	11/10/2016	51.941508	1.043144	village or small town	0	0	0	1	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	15.5	5.5	100	71-80	75	17.9	3	18.4	9.3	-0.5	-6.3	14.9	9.1	5.8	5625	nrural	20+light
1	10/19/2016	51.555658	0.589489	suburban	0	0	1	0	litter	0	0	0	1	0	litter	0	0	0	1	0	litter_litter	20+	0	0	0	1	with others	0	Quercus petraea	3.45	1	1	91-100	95	16.6	3.9	15	8	1.6	-4.1	12.7	7	5.7	9025	nrural	20+light
