Tmax	Open_Canopy
8	Open
15	Open
18.3	Open
9	Open
22.7	Open
12	Open
17.4	Open
13	Open
17.9	Open
16.6	Open
14.6	Open
18.3	Open
27.5	Open
14.1	Open
17.5	Open
15.4	Open
13	Open
15.1	Open
15.1	Open
19.7	Open
37.6	Open
15.3	Open
15	Open
14.3	Open
12.8	Open
15.7	Open
16.2	Open
16	Open
18.4	Open
11.9	Open
11.3	Open
6.6	Open
14.4	Open
20.3	Open
9.9	Open
13.1	Open
15.3	Open
16	Open
16.6	Open
24.8	Open
24.4	Open
20.1	Open
16.7	Open
17	Open
24.6	Open
24	Open
11	Open
19.9	Open
15.7	Open
18.4	Open
6.1	Open
19.1	Open
21	Open
17.8	Open
16	Open
23	Open
11	Open
17.9	Open
14.8	Open
14.6	Open
13.1	Open
14	Open
25.2	Open
16.1	Open
18.4	Open
11	Open
16.8	Open
19.4	Open
14.6	Open
25.4	Open
49.4	Open
19.6	Open
23.2	Open
12.4	Open
12	Open
34.4	Open
11.8	Open
24.8	Open
26.4	Open
20.7	Open
19.8	Open
10	Open
17.9	Open
20.6	Open
15.6	Open
26	Open
13.7	Open
20	Open
17	Open
18.4	Open
9	Open
16.5	Open
15.7	Open
15.7	Open
9.7	Open
17.4	Open
12	Open
20.7	Open
14.7	Open
16.4	Open
20.8	Open
16.3	Open
21.4	Open
15	Open
20.4	Open
21.5	Open
19.5	Open
10.8	Open
21.1	Open
16	Open
22.1	Open
18.1	Open
13.5	Open
26.1	Open
18.2	Open
14.5	Open
16.7	Open
18.4	Open
19	Open
19.4	Open
18	Open
25	Open
18.5	Open
18.8	Open
17.9	Open
32.5	Open
22	Open
14	Open
21.7	Open
10.4	Open
11.6	Open
18	Open
11.2	Open
22.7	Open
19.8	Open
33.3	Open
21	Open
20.6	Open
15.6	Open
17	Open
14.4	Open
18.2	Open
17	Open
14.7	Open
22	Open
16.9	Open
23.4	Open
17.9	Open
16.6	Open
13.9	Open
10.6	Open
18	Open
20.6	Open
16.7	Open
19	Open
22.6	Open
14.4	Open
16.7	Open
22	Open
15.2	Open
24.1	Open
16.4	Open
11.5	Open
12.7	Open
16	Open
16.7	Open
15.2	Open
18	Open
15.6	Open
15	Open
8.7	Open
12.5	Open
15	Open
16.6	Open
19.7	Open
23.7	Open
22.6	Open
17	Open
17	Open
14.3	Open
16.6	Open
13	Open
20.8	Open
19.4	Open
17.6	Open
15	Open
13.6	Open
11.7	Open
11	Open
9	Open
16.9	Open
13.9	Open
17.9	Open
10.5	Open
18.6	Open
10.5	Open
8.9	Open
12.4	Open
13	Open
13.6	Open
5	Open
4.1	Open
8	Open
18.3	Open
43.5	Open
10.7	Open
12	Open
7.2	Open
10.9	Open
10	Open
9.6	Open
4.8	Open
15.2	Open
0	Open
10.9	Open
14.2	Open
13.7	Open
9.4	Open
-1	Open
10.5	Open
7.8	Open
14	Open
13.1	Open
12.4	Open
17	Open
13.4	Open
24.6	Open
18.7	Open
8	Open
19.7	Open
13.7	Open
9.2	Open
9.9	Open
10.2	Open
21.02	Open
17.4	Open
8	Open
13.1	Open
9.8	Open
15	Open
12.7	Open
10	Open
16.4	Open
14.5	Open
15.7	Open
13.9	Open
19	Open
9	Open
13.4	Open
17.6	Open
9.8	Open
10.2	Open
32.8	Open
8.2	Open
17.4	Open
6.2	Open
8.9	Open
10.1	Open
7.4	Open
16.5	Open
11.6	Open
10	Open
13	Open
13.1	Open
17.7	Open
4	Open
10.3	Open
20.4	Open
2	Open
20.4	Open
9.1	Open
14.6	Open
11	Open
14.6	Open
9.9	Open
9	Open
2.5	Open
17	Open
7	Open
20.6	Open
12	Open
17.4	Open
7.5	Open
3.6	Open
13.8	Open
19	Open
15.3	Open
14.5	Open
4	Open
18.9	Open
21.6	Open
8.9	Open
17.2	Open
18.6	Open
20.8	Open
11.6	Open
9.6	Open
13.8	Open
11	Open
5	Open
11.5	Open
10	Open
26.6	Open
17.4	Open
13	Open
16.2	Open
31.8	Open
13	Open
17.6	Open
18.7	Open
10.4	Open
10.4	Open
6.4	Open
18	Open
15.5	Open
14.7	Open
14.9	Open
33.6	Open
14.7	Open
8.5	Open
9.3	Open
11.3	Open
13	Open
12.6	Open
16	Open
6.7	Open
11.1	Open
8.2	Open
5.9	Open
12.4	Open
11.2	Open
7.3	Open
10.5	Open
13.1	Open
14	Open
12	Open
14.1	Open
14.6	Open
10.3	Open
3.1	Open
11.7	Open
11.4	Open
16.8	Open
18.5	Open
7.9	Open
13	Open
13.2	Open
12	Open
12.2	Open
11.2	Open
6.2	Open
12.6	Open
16.3	Open
15.3	Open
10.3	Open
14	Open
14.2	Open
14	Open
15.2	Open
8.4	Open
11.1	Open
22.1	Open
9.6	Open
10	Canopy
14	Canopy
11.4	Canopy
7.7	Canopy
23.8	Canopy
12.9	Canopy
17	Canopy
11.9	Canopy
18.4	Canopy
15	Canopy
19.6	Canopy
18.3	Canopy
32	Canopy
13.7	Canopy
17.2	Canopy
14	Canopy
12.4	Canopy
17.5	Canopy
18	Canopy
19.9	Canopy
34	Canopy
15.6	Canopy
13	Canopy
13.2	Canopy
15.7	Canopy
18.3	Canopy
16	Canopy
15.4	Canopy
13.4	Canopy
11.5	Canopy
14.7	Canopy
5	Canopy
13	Canopy
17	Canopy
10.6	Canopy
17.6	Canopy
14.9	Canopy
21.5	Canopy
18.6	Canopy
21.6	Canopy
27.6	Canopy
22	Canopy
15.1	Canopy
14.9	Canopy
23.4	Canopy
27.8	Canopy
14	Canopy
19.6	Canopy
14.8	Canopy
14.1	Canopy
4.5	Canopy
19.2	Canopy
20	Canopy
12.8	Canopy
15	Canopy
25.3	Canopy
15	Canopy
13.8	Canopy
16.1	Canopy
15	Canopy
10.7	Canopy
16	Canopy
16.2	Canopy
9.8	Canopy
14.8	Canopy
14	Canopy
13.8	Canopy
15.9	Canopy
15.4	Canopy
18.5	Canopy
37.4	Canopy
19.4	Canopy
22.4	Canopy
12	Canopy
14.6	Canopy
27.4	Canopy
12	Canopy
23.6	Canopy
13	Canopy
16.7	Canopy
19	Canopy
10.4	Canopy
15.1	Canopy
20.9	Canopy
18.6	Canopy
16.6	Canopy
11.8	Canopy
19.2	Canopy
18.3	Canopy
16.7	Canopy
7	Canopy
16.8	Canopy
13	Canopy
16.5	Canopy
8	Canopy
15.8	Canopy
11	Canopy
17.3	Canopy
12	Canopy
18.2	Canopy
22.3	Canopy
12.8	Canopy
13.9	Canopy
14.7	Canopy
18.4	Canopy
17	Canopy
19.3	Canopy
