T_min	Open_Canopy
4	Open
-1.4	Open
5.1	Open
-3.7	Open
5.7	Open
0	Open
3.4	Open
3	Open
3	Open
3.9	Open
0	Open
6.5	Open
4.2	Open
7.8	Open
6.3	Open
4.5	Open
0	Open
13.4	Open
4.2	Open
4.7	Open
13	Open
4.4	Open
4	Open
8.1	Open
3.1	Open
5.7	Open
6.9	Open
3.4	Open
-4	Open
4.9	Open
1.3	Open
-0.8	Open
6	Open
1.8	Open
4.9	Open
8.5	Open
8.7	Open
6.4	Open
-1.7	Open
4.3	Open
2.5	Open
0.3	Open
7.9	Open
10.1	Open
0	Open
-1.3	Open
2	Open
7	Open
4.8	Open
9.8	Open
0.5	Open
8.3	Open
0	Open
3.2	Open
5	Open
-2.1	Open
6.8	Open
8.7	Open
4.4	Open
8	Open
-4	Open
6.4	Open
9.7	Open
-1.3	Open
7.8	Open
6	Open
8	Open
7.6	Open
4	Open
10.7	Open
14.4	Open
4	Open
0	Open
3.6	Open
6	Open
0	Open
3.1	Open
13.6	Open
7.6	Open
9.5	Open
8.9	Open
4.3	Open
7.9	Open
10	Open
7.7	Open
13.2	Open
1.6	Open
8	Open
3.2	Open
4.1	Open
0	Open
6.6	Open
7.1	Open
0.6	Open
5	Open
-3.1	Open
6	Open
3.9	Open
10.6	Open
0	Open
14	Open
7.4	Open
-1.6	Open
4	Open
1	Open
5.8	Open
7.7	Open
3	Open
9.4	Open
1.3	Open
5.7	Open
9.5	Open
3.1	Open
13.1	Open
6.7	Open
6.4	Open
9.6	Open
4	Open
7	Open
2.6	Open
6	Open
-1.3	Open
9.6	Open
0.9	Open
11.2	Open
29.2	Open
5.9	Open
7.5	Open
19.9	Open
-0.4	Open
7.3	Open
2.9	Open
9	Open
-5.6	Open
-1.4	Open
20	Open
9.3	Open
2.7	Open
4.7	Open
10	Open
4.4	Open
7.5	Open
7	Open
4.4	Open
9.5	Open
6.8	Open
5.8	Open
10.4	Open
7.7	Open
6	Open
6.7	Open
10.4	Open
15.5	Open
-0.4	Open
3.6	Open
-1.6	Open
3.8	Open
1	Open
2.6	Open
0.7	Open
4.5	Open
7.4	Open
5.8	Open
12	Open
7	Open
2.3	Open
10.9	Open
12	Open
10.1	Open
6.9	Open
-2	Open
3.2	Open
2.6	Open
16.4	Open
3	Open
1.7	Open
0.9	Open
11.7	Open
4.4	Open
5.6	Open
3.4	Open
-1.3	Open
9.2	Open
3.6	Open
2.2	Open
1	Open
7.3	Open
2.7	Open
3.4	Open
-7	Open
-1.2	Open
3.6	Open
3	Open
-2	Open
2.3	Open
4	Open
-5.7	Open
4.4	Open
1.7	Open
5.6	Open
-0.3	Open
1.5	Open
-5	Open
4.5	Open
14.2	Open
2.5	Open
3	Open
1.3	Open
-1.6	Open
-1	Open
3.9	Open
2.6	Open
5.6	Open
0	Open
0.9	Open
7	Open
-1.2	Open
-3	Open
-6.1	Open
0.5	Open
1	Open
9.3	Open
-0.6	Open
0.4	Open
10.4	Open
5.7	Open
0	Open
9.6	Open
-1	Open
11.6	Open
6	Open
3.2	Open
-0.5	Open
1.7	Open
0	Open
4	Open
4	Open
-1.7	Open
2	Open
11	Open
3	Open
0.7	Open
2.2	Open
-6	Open
4.3	Open
-3.3	Open
2.3	Open
6	Open
4	Open
10.3	Open
2.4	Open
3.9	Open
8	Open
1.1	Open
0.1	Open
-0.8	Open
2.4	Open
5.4	Open
2.4	Open
6.5	Open
-3.9	Open
-1.8	Open
0.4	Open
6.1	Open
7.2	Open
1.6	Open
7.6	Open
3.3	Open
-2.1	Open
0	Open
-1.4	Open
1.2	Open
3	Open
5.5	Open
-4.4	Open
-0.6	Open
-3	Open
0.3	Open
-1.2	Open
3.5	Open
11.4	Open
8.9	Open
-2	Open
0	Open
-2.7	Open
7	Open
-3.2	Open
9.6	Open
0	Open
2.4	Open
4.1	Open
-1.5	Open
4	Open
2	Open
11	Open
2.2	Open
-0.2	Open
6.3	Open
-1.4	Open
-3	Open
-1.5	Open
5.3	Open
-1.3	Open
6	Open
1.6	Open
9.8	Open
29.5	Open
-2.3	Open
3.3	Open
-0.3	Open
1.9	Open
4.9	Open
4.1	Open
6.4	Open
8.2	Open
-2.2	Open
-0.3	Open
18	Open
14.7	Open
1	Open
0	Open
1.2	Open
6.6	Open
1.2	Open
12	Open
4	Open
1.3	Open
4.7	Open
0.7	Open
3.7	Open
-0.4	Open
5.5	Open
2.7	Open
4	Open
2.1	Open
-0.1	Open
1	Open
-2.6	Open
0.4	Open
-1.5	Open
11	Open
-2	Open
1	Open
3	Open
